UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
20:28:12, 265, 0, 97224, 0.95, 125.10, 11.92, 53.55,  , 43.040888, -89.430365, 0
20:28:13, 265, 0, 97221, 3.50, 275.10, 11.84, 53.30,  ,  ,  , 0
20:28:14, 266, 1, 97218, 3.40, 265.30, 11.71, 53.00,  ,  ,  , 0.1
20:28:15, 266, 1, 97216, 3.15, 249.00, 11.60, 52.80,  , 43.040887, -89.430455, 0.1
20:28:20, 275, 10, 97112, 3.75, 283.40, 11.04, 52.40,  ,  ,  , 0.8
20:28:21, 277, 12, 97092, 2.65, 263.50, 10.90, 52.35,  , 43.040862, -89.430688, 0.9
20:28:22, 278, 13, 97073, 3.80, 241.00, 10.80, 52.40,  ,  ,  , 1.0
20:28:23, 280, 15, 97055, 4.65, 253.30, 10.73, 52.50,  ,  ,  , 1.2
20:28:24, 281, 16, 97038, 2.70, 271.40, 10.65, 52.55,  , 43.040850, -89.430825, 1.3
20:28:25, 282, 17, 97023, 2.75, 274.90, 10.59, 52.75,  ,  ,  , 1.3
20:28:26, 284, 19, 97007, 2.55, 252.40, 10.57, 52.90,  ,  ,  , 1.4
20:28:27, 285, 20, 96992, 2.85, 256.80, 10.51, 53.00,  , 43.040855, -89.430923, 1.5
20:28:28, 286, 21, 96981, 3.70, 264.90, 10.44, 53.15,  ,  ,  , 1.6
20:28:29, 287, 22, 96971, 3.35, 253.70, 10.35, 53.30,  ,  ,  , 1.5
20:28:30, 288, 23, 96962, 2.95, 267.80, 10.28, 53.45,  , 43.040845, -89.431047, 1.5
20:28:31, 289, 24, 96946, 4.65, 270.70, 10.25, 53.60,  ,  ,  , 1.5
20:28:32, 290, 25, 96931, 5.35, 249.30, 10.26, 53.80,  ,  ,  , 1.4
20:28:33, 292, 27, 96916, 5.10, 251.30, 10.26, 53.95,  , 43.040833, -89.431223, 1.3
20:28:34, 292, 27, 96909, 5.30, 261.10, 10.21, 54.10,  ,  ,  , 1.2
20:28:35, 293, 28, 96903, 5.90, 269.00, 10.16, 54.20,  ,  ,  , 1.1
20:28:36, 293, 28, 96898, 6.00, 264.20, 10.11, 54.35,  , 43.040840, -89.431447, 1.0
20:28:37, 294, 29, 96887, 5.35, 258.30, 10.10, 54.45,  ,  ,  , 1.0
20:28:38, 295, 30, 96876, 5.50, 243.40, 10.06, 54.60,  ,  ,  , 0.9
20:28:39, 296, 31, 96866, 5.25, 245.20, 10.01, 54.75,  , 43.040793, -89.431632, 0.9
20:28:40, 297, 32, 96851, 4.30, 258.30, 9.97, 54.80,  ,  ,  , 0.9
20:28:41, 299, 34, 96836, 3.50, 264.80, 9.98, 54.95,  ,  ,  , 1.0
20:28:42, 300, 35, 96822, 3.75, 267.50, 9.96, 55.05,  , 43.040772, -89.431787, 1.0
20:28:43, 302, 37, 96800, 5.20, 272.90, 9.92, 55.20,  ,  ,  , 1.0
20:28:44, 304, 39, 96779, 4.65, 267.50, 9.89, 55.30,  ,  ,  , 1.1
20:28:45, 305, 40, 96758, 3.05, 286.80, 9.87, 55.40, 18.25, 43.040783, -89.431958, 1.1
20:28:46, 307, 42, 96740, 5.35, 275.70, 9.89, 55.55,  ,  ,  , 1.2
20:28:47, 309, 44, 96721, 4.70, 268.20, 9.87, 55.60,  ,  ,  , 1.3
20:28:48, 310, 45, 96702, 3.50, 259.60, 9.85, 55.70,  , 43.040783, -89.432122, 1.3
20:28:50, 314, 49, 96655, 4.25, 261.80, 9.83, 55.85,  ,  ,  , 1.5
20:28:51, 316, 51, 96632, 3.85, 259.50, 9.83, 55.95,  , 43.040793, -89.432277, 1.6
20:28:52, 318, 53, 96608, 4.30, 264.40, 9.81, 56.00,  ,  ,  , 1.7
20:28:53, 320, 55, 96585, 5.20, 258.20, 9.79, 56.05,  ,  ,  , 1.8
20:28:54, 322, 57, 96562, 4.05, 224.90, 9.79, 56.10,  , 43.040770, -89.432423, 1.8
20:28:55, 323, 58, 96547, 3.65, 212.40, 9.81, 56.15,  ,  ,  , 1.8
20:28:56, 325, 60, 96533, 4.20, 225.00, 9.81, 56.20,  ,  ,  , 1.8
20:28:57, 326, 61, 96520, 6.00, 238.80, 9.81, 56.25,  , 43.040693, -89.432538, 1.7
20:28:58, 326, 61, 96513, 6.50, 238.50, 9.76, 56.35,  ,  ,  , 1.6
20:28:59, 327, 62, 96507, 5.30, 236.30, 9.70, 56.40,  ,  ,  , 1.5
20:29:00, 327, 62, 96502, 4.50, 246.30, 9.64, 56.40,  , 43.040613, -89.432710, 1.4
20:29:01, 329, 64, 96485, 4.30, 244.70, 9.61, 56.40,  ,  ,  , 1.4
20:29:02, 330, 65, 96468, 4.65, 257.60, 9.58, 56.45,  ,  ,  , 1.3
20:29:03, 332, 67, 96452, 4.55, 257.70, 9.56, 56.55,  , 43.040588, -89.432873, 1.3
20:29:05, 335, 70, 96416, 6.80, 246.90, 9.53, 56.70,  ,  ,  , 1.3
20:29:06, 336, 71, 96398, 5.45, 243.90, 9.51, 56.80,  , 43.040523, -89.433082, 1.2
20:29:10, 341, 76, 96348, 4.60, 240.80, 9.49, 57.05,  ,  ,  , 1.2
20:29:11, 342, 77, 96336, 4.60, 226.20, 9.46, 57.10,  ,  ,  , 1.2
20:29:12, 343, 78, 96324, 4.75, 231.90, 9.43, 57.15, 17.75, 43.040377, -89.433398, 1.3
20:29:13, 345, 80, 96296, 6.15, 240.40, 9.42, 57.20,  ,  ,  , 1.4
20:29:14, 348, 83, 96266, 6.50, 244.50, 9.40, 57.25,  ,  ,  , 1.5
20:29:15, 350, 85, 96236, 5.55, 249.20, 9.38, 57.30,  , 43.040322, -89.433588, 1.5
20:29:16, 353, 88, 96202, 6.25, 244.90, 9.37, 57.35,  ,  ,  , 1.7
20:29:17, 356, 91, 96169, 6.25, 248.30, 9.34, 57.40,  ,  ,  , 1.8
20:29:18, 359, 94, 96136, 6.25, 248.00, 9.34, 57.45,  , 43.040287, -89.433798, 1.9
20:29:21, 368, 103, 96032, 5.60, 247.70, 9.29, 57.60,  , 43.040253, -89.434007, 2.1
20:29:22, 370, 105, 96005, 5.45, 255.70, 9.29, 57.60,  ,  ,  , 2.1
20:29:23, 373, 108, 95979, 4.80, 258.00, 9.28, 57.65,  ,  ,  , 2.5
20:29:24, 375, 110, 95954, 5.10, 246.60, 9.28, 57.70,  , 43.040207, -89.434182, 2.6
20:29:25, 377, 112, 95931, 5.10, 235.10, 9.28, 57.75,  ,  ,  , 2.6
