Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
192, 97388, 0.25, 0.00, 13.57, 48.00
192, 97383, 0.05, 129.70, 14.04, 47.55
192, 97382, 0.00, 129.70, 13.70, 47.45
192, 97381, 0.05, 129.70, 14.26, 46.15
193, 97380, 0.05, 129.70, 14.27, 46.15
193, 97379, 0.00, 129.70, 14.36, 46.30
193, 97378, 0.00, 129.70, 14.36, 46.30
262, 97381, 0.20, 307.80, 13.86, 47.45
263, 97380, 0.05, 312.20, 13.89, 47.45
263, 97379, 0.00, 312.20, 14.14, 46.65
263, 97378, 0.15, 312.20, 14.14, 46.60
263, 97378, 0.10, 312.20, 14.14, 46.55
263, 97378, 0.10, 354.70, 14.54, 47.40
264, 97380, 0.15, 354.70, 14.67, 47.30
265, 97370, 0.05, 354.70, 14.72, 46.90
266, 97364, 0.10, 284.70, 14.78, 46.80
266, 97361, 0.05, 275.30, 11.65, 50.35
266, 97359, 0.10, 275.30, 11.67, 50.55
266, 97358, 0.10, 275.30, 11.69, 50.80
275, 97257, 2.20, 320.70, 11.21, 51.10
278, 97219, 1.40, 314.40, 11.11, 51.10
282, 97182, 3.05, 326.30, 11.08, 51.20
289, 97100, 2.10, 250.40, 10.96, 51.40
292, 97058, 4.55, 265.20, 10.91, 51.50
295, 97029, 4.55, 265.20, 10.88, 51.60
297, 97000, 6.15, 247.30, 10.75, 51.60
300, 96972, 5.30, 243.10, 10.59, 51.65
301, 96959, 5.30, 243.10, 10.44, 51.65
302, 96947, 5.35, 244.20, 10.35, 51.70
303, 96936, 5.60, 244.20, 10.27, 51.75
310, 96851, 5.55, 223.40, 9.98, 52.20
312, 96831, 5.55, 223.40, 9.92, 52.30
313, 96812, 7.25, 248.70, 9.88, 52.45
315, 96791, 7.25, 248.70, 9.85, 52.65
317, 96771, 7.40, 231.00, 9.81, 52.75
319, 96752, 6.70, 237.10, 9.75, 52.85
320, 96737, 6.70, 237.10, 9.71, 52.95
321, 96722, 6.85, 235.80, 9.69, 53.10
322, 96708, 6.80, 244.20, 9.71, 53.25
