Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
324, 96687, 6.80, 244.20, 9.73, 53.35
326, 96664, 6.90, 249.50, 9.70, 53.45
328, 96642, 6.20, 243.40, 9.64, 53.55
330, 96616, 6.20, 243.40, 9.58, 53.60
332, 96591, 7.75, 236.20, 9.54, 53.70
335, 96566, 7.20, 229.90, 9.47, 53.80
337, 96543, 7.15, 229.90, 9.43, 53.95
338, 96522, 7.65, 232.60, 9.39, 54.05
340, 96502, 7.00, 234.70, 9.34, 54.15
354, 96342, 8.90, 247.40, 9.26, 54.80
356, 96322, 8.80, 241.40, 9.21, 54.85
366, 96200, 7.35, 241.80, 9.10, 55.25
368, 96184, 8.80, 240.20, 9.12, 55.30
369, 96168, 8.15, 243.70, 9.12, 55.35
370, 96158, 7.40, 243.40, 9.10, 55.40
371, 96149, 8.50, 240.40, 9.10, 55.45
371, 96140, 8.50, 241.40, 9.10, 55.45
372, 96128, 8.50, 241.40, 9.10, 55.45
373, 96116, 7.80, 242.10, 9.10, 55.50
375, 96104, 8.75, 246.00, 9.10, 55.50
376, 96092, 8.00, 245.10, 9.10, 55.55
377, 96080, 7.05, 240.40, 9.09, 55.60
378, 96068, 8.20, 245.40, 9.07, 55.60
379, 96053, 8.20, 245.40, 9.02, 55.60
380, 96038, 7.65, 237.80, 9.01, 55.65
381, 96024, 7.60, 243.20, 8.99, 55.65
387, 95956, 8.05, 236.00, 8.93, 55.75
390, 95922, 8.15, 249.70, 8.90, 55.85
392, 95906, 7.55, 243.20, 8.88, 55.85
395, 95870, 8.65, 247.90, 8.87, 55.90
396, 95852, 7.90, 245.90, 8.86, 55.95
399, 95818, 8.50, 247.00, 8.83, 56.05
401, 95802, 9.10, 245.90, 8.86, 56.05
403, 95770, 8.00, 241.40, 8.82, 56.15
405, 95754, 8.20, 250.20, 8.81, 56.15
407, 95726, 8.35, 238.00, 8.78, 56.20
408, 95712, 7.75, 248.90, 8.80, 56.25
411, 95686, 8.10, 241.00, 8.78, 56.30
412, 95674, 8.45, 242.60, 8.74, 56.35
413, 95660, 8.60, 248.90, 8.74, 56.35
414, 95647, 7.80, 245.80, 8.71, 56.40
415, 95634, 7.55, 243.60, 8.69, 56.40
416, 95620, 8.95, 246.20, 8.69, 56.45
418, 95607, 8.85, 245.50, 8.67, 56.45
419, 95594, 7.35, 243.60, 8.67, 56.50
425, 95524, 8.30, 244.20, 8.59, 56.70
426, 95514, 8.35, 244.10, 8.58, 56.75
427, 95504, 8.90, 247.50, 8.56, 56.75
427, 95493, 7.50, 247.80, 8.54, 56.75
428, 95483, 8.10, 242.40, 8.54, 56.75
429, 95474, 9.50, 242.20, 8.54, 56.80
430, 95466, 8.30, 244.00, 8.52, 56.90
430, 95459, 7.55, 246.30, 8.52, 56.90
431, 95452, 8.80, 245.50, 8.50, 56.95
432, 95443, 9.25, 241.40, 8.50, 57.00
433, 95434, 8.00, 239.30, 8.49, 57.00
433, 95426, 7.75, 247.30, 8.49, 57.05
434, 95417, 8.60, 249.90, 8.49, 57.10
435, 95408, 8.65, 239.50, 8.48, 57.15
436, 95400, 8.20, 239.50, 8.47, 57.15
436, 95392, 8.25, 250.20, 8.45, 57.25
437, 95384, 8.85, 245.20, 8.44, 57.25
438, 95376, 8.80, 238.00, 8.43, 57.30
438, 95369, 8.35, 245.40, 8.42, 57.30
439, 95363, 8.45, 249.10, 8.41, 57.30
439, 95358, 8.45, 240.50, 8.39, 57.35
440, 95351, 8.15, 244.20, 8.37, 57.35
440, 95344, 8.15, 250.30, 8.37, 57.40
441, 95338, 8.20, 243.70, 8.36, 57.45
442, 95326, 8.45, 240.80, 8.35, 57.50
443, 95315, 8.55, 251.40, 8.31, 57.50
444, 95304, 8.80, 248.40, 8.31, 57.55
446, 95281, 8.50, 242.30, 8.29, 57.60
447, 95270, 8.35, 248.60, 8.27, 57.65
449, 95244, 8.85, 245.70, 8.25, 57.70
450, 95232, 8.75, 249.10, 8.25, 57.75
452, 95214, 8.90, 239.50, 8.28, 57.85
452, 95206, 8.60, 248.80, 8.28, 57.90
453, 95196, 8.40, 244.60, 8.28, 57.95
454, 95187, 8.45, 238.40, 8.27, 57.95
455, 95178, 8.10, 248.80, 8.25, 58.00
456, 95166, 8.55, 249.30, 8.23, 58.00
457, 95154, 8.65, 241.80, 8.25, 58.00
458, 95142, 8.00, 240.20, 8.27, 58.00
459, 95125, 7.70, 244.30, 8.24, 58.05
461, 95108, 8.80, 250.30, 8.21, 58.05
462, 95092, 9.35, 249.10, 8.19, 58.05
463, 95078, 8.15, 243.30, 8.20, 58.05
465, 95065, 8.05, 241.60, 8.20, 58.05
466, 95052, 9.10, 252.70, 8.20, 58.10
467, 95036, 9.20, 248.90, 8.18, 58.10
468, 95021, 8.00, 241.10, 8.18, 58.10
470, 95006, 8.30, 248.00, 8.20, 58.15
471, 94996, 9.20, 251.10, 8.19, 58.20
471, 94987, 8.45, 242.30, 8.18, 58.25
472, 94978, 7.85, 244.00, 8.18, 58.25
475, 94944, 8.55, 248.20, 8.11, 58.30
477, 94928, 7.60, 243.50, 8.12, 58.30
478, 94914, 8.50, 243.80, 8.12, 58.30
479, 94901, 9.40, 248.80, 8.11, 58.30
480, 94888, 7.90, 249.20, 8.09, 58.35
481, 94874, 7.90, 245.10, 8.08, 58.40
483, 94859, 9.30, 243.00, 8.09, 58.40
484, 94844, 8.40, 243.30, 8.07, 58.45
485, 94830, 7.10, 246.00, 8.04, 58.45
486, 94817, 8.50, 247.50, 8.04, 58.45
487, 94804, 9.25, 246.60, 8.01, 58.55
489, 94788, 8.20, 240.10, 7.99, 58.55
490, 94773, 7.85, 247.00, 7.99, 58.55
491, 94758, 8.75, 253.20, 7.97, 58.60
493, 94741, 8.80, 241.90, 7.97, 58.65
494, 94725, 8.45, 240.40, 7.96, 58.70
496, 94710, 8.45, 252.50, 7.95, 58.75
497, 94696, 8.50, 250.10, 7.94, 58.75
498, 94682, 8.25, 239.30, 7.93, 58.80
499, 94668, 8.50, 243.10, 7.91, 58.85
501, 94651, 9.00, 248.90, 7.90, 58.85
502, 94634, 8.05, 249.60, 7.90, 58.90
504, 94618, 8.40, 245.50, 7.89, 58.95
505, 94601, 9.35, 244.30, 7.88, 59.00
506, 94585, 7.95, 244.60, 7.84, 59.05
508, 94570, 7.80, 251.20, 7.83, 59.05
509, 94553, 9.15, 247.80, 7.84, 59.10
511, 94536, 9.00, 243.20, 7.83, 59.15
512, 94520, 7.55, 249.00, 7.80, 59.20
514, 94503, 8.45, 246.90, 7.80, 59.25
515, 94487, 9.20, 244.50, 7.80, 59.30
516, 94472, 8.15, 246.60, 7.79, 59.30
519, 94439, 9.05, 242.50, 7.78, 59.40
521, 94424, 8.60, 246.60, 7.78, 59.45
523, 94397, 8.80, 244.80, 7.76, 59.50
524, 94384, 9.00, 244.00, 7.76, 59.50
526, 94367, 8.15, 249.20, 7.78, 59.50
527, 94349, 7.95, 249.90, 7.75, 59.55
529, 94332, 9.20, 244.60, 7.71, 59.50
530, 94316, 8.70, 248.00, 7.69, 59.55
531, 94301, 7.85, 251.70, 7.71, 59.55
533, 94286, 8.65, 246.80, 7.71, 59.60
534, 94271, 9.20, 244.90, 7.71, 59.60
535, 94256, 8.05, 248.90, 7.69, 59.65
537, 94242, 7.90, 250.80, 7.67, 59.70
538, 94224, 7.90, 250.80, 7.66, 59.75
540, 94207, 9.05, 247.50, 7.65, 59.80
541, 94190, 8.30, 255.60, 7.66, 59.85
542, 94176, 8.20, 248.10, 7.66, 59.90
544, 94163, 8.70, 242.00, 7.64, 59.95
545, 94150, 8.70, 253.30, 7.63, 60.00
546, 94131, 8.45, 252.60, 7.62, 60.05
548, 94113, 8.55, 243.50, 7.63, 60.05
549, 94096, 8.75, 245.70, 7.62, 60.10
551, 94083, 8.50, 256.10, 7.60, 60.15
552, 94071, 8.50, 256.10, 7.56, 60.20
553, 94060, 8.50, 244.80, 7.56, 60.25
554, 94041, 8.15, 252.20, 7.59, 60.25
556, 94022, 8.30, 253.60, 7.56, 60.30
558, 94004, 9.20, 241.90, 7.53, 60.30
561, 93960, 8.45, 248.40, 7.52, 60.35
564, 93926, 8.00, 251.50, 7.45, 60.45
566, 93910, 8.25, 255.30, 7.46, 60.50
573, 93833, 9.10, 248.10, 7.37, 60.70
574, 93814, 9.10, 254.90, 7.38, 60.75
577, 93785, 8.05, 244.20, 7.31, 60.80
578, 93772, 8.50, 253.20, 7.31, 60.85
580, 93743, 9.15, 247.60, 7.26, 60.95
582, 93730, 8.15, 249.80, 7.25, 61.00
585, 93689, 8.85, 254.30, 7.25, 61.05
587, 93670, 8.95, 248.30, 7.20, 61.10
588, 93654, 8.25, 255.40, 7.21, 61.15
590, 93637, 8.25, 255.40, 7.20, 61.20
591, 93620, 8.85, 246.00, 7.19, 61.25
597, 93552, 8.50, 249.20, 7.11, 61.40
599, 93533, 8.85, 255.80, 7.14, 61.45
601, 93514, 9.10, 254.00, 7.12, 61.50
607, 93438, 9.40, 250.30, 7.03, 61.65
609, 93419, 8.80, 251.00, 7.05, 61.70
611, 93400, 8.75, 256.50, 7.06, 61.75
612, 93381, 8.90, 249.40, 7.07, 61.85
614, 93363, 8.90, 249.40, 7.05, 61.85
616, 93346, 9.00, 257.50, 7.07, 61.90
617, 93329, 8.35, 254.50, 7.05, 61.95
618, 93313, 8.35, 254.50, 7.03, 62.00
620, 93298, 9.70, 254.80, 7.03, 62.00
621, 93284, 9.25, 259.20, 7.01, 62.00
622, 93269, 8.00, 253.00, 6.98, 62.00
624, 93254, 8.45, 254.70, 6.95, 62.05
626, 93223, 8.90, 251.70, 6.92, 62.05
628, 93208, 9.05, 252.80, 6.89, 62.10
630, 93183, 8.20, 257.20, 6.85, 62.15
632, 93159, 8.80, 256.60, 6.81, 62.15
634, 93136, 9.35, 255.00, 6.78, 62.25
636, 93118, 9.40, 255.00, 6.73, 62.30
637, 93101, 7.90, 252.30, 6.70, 62.40
639, 93084, 8.90, 255.90, 6.70, 62.50
645, 93015, 7.90, 253.90, 6.62, 62.75
646, 92995, 9.70, 253.00, 6.60, 62.80
648, 92976, 8.55, 256.40, 6.58, 62.85
650, 92959, 8.60, 256.40, 6.55, 62.95
651, 92942, 9.90, 251.90, 6.53, 63.00
653, 92926, 9.25, 256.10, 6.50, 63.10
656, 92887, 9.60, 256.70, 6.46, 63.20
658, 92868, 9.50, 255.20, 6.43, 63.30
660, 92847, 7.95, 255.70, 6.41, 63.35
661, 92826, 8.45, 258.00, 6.38, 63.45
663, 92806, 9.70, 259.20, 6.36, 63.55
665, 92784, 9.05, 254.00, 6.33, 63.65
667, 92763, 9.05, 254.00, 6.33, 63.70
669, 92742, 8.80, 258.70, 6.31, 63.80
671, 92722, 9.10, 258.90, 6.31, 63.85
672, 92703, 8.40, 249.10, 6.28, 63.90
674, 92684, 8.50, 252.50, 6.27, 64.00
676, 92665, 9.25, 258.80, 6.28, 64.05
677, 92647, 8.50, 256.80, 6.28, 64.15
679, 92630, 8.20, 250.80, 6.31, 64.20
681, 92610, 9.45, 257.20, 6.31, 64.30
682, 92591, 9.45, 257.20, 6.29, 64.35
684, 92572, 8.85, 253.10, 6.27, 64.40
686, 92553, 8.90, 253.10, 6.27, 64.40
687, 92535, 8.85, 251.90, 6.23, 64.45
689, 92518, 9.05, 250.60, 6.20, 64.50
690, 92500, 9.05, 250.60, 6.18, 64.55
692, 92483, 8.80, 256.70, 6.17, 64.60
693, 92466, 9.30, 251.30, 6.19, 64.65
695, 92452, 9.30, 253.20, 6.18, 64.70
696, 92438, 9.30, 253.20, 6.21, 64.75
697, 92424, 8.60, 251.30, 6.19, 64.80
700, 92390, 8.65, 254.20, 6.17, 64.90
702, 92374, 8.45, 256.30, 6.16, 64.90
703, 92359, 9.55, 250.20, 6.13, 64.95
704, 92344, 9.00, 249.80, 6.09, 64.95
706, 92330, 7.90, 255.30, 6.06, 65.00
707, 92311, 7.90, 255.30, 6.04, 65.10
709, 92293, 9.85, 252.80, 6.02, 65.15
710, 92276, 8.40, 251.30, 5.99, 65.20
712, 92261, 8.10, 255.00, 5.97, 65.20
713, 92247, 9.70, 254.90, 5.97, 65.30
714, 92234, 9.55, 254.80, 5.96, 65.30
715, 92219, 8.05, 255.10, 5.98, 65.45
717, 92203, 8.55, 255.00, 5.98, 65.50
718, 92188, 9.60, 255.20, 5.97, 65.50
720, 92170, 8.65, 253.30, 5.93, 65.55
721, 92153, 8.35, 252.20, 5.92, 65.60
723, 92136, 9.35, 253.00, 5.92, 65.65
724, 92123, 9.00, 257.90, 5.98, 65.70
725, 92110, 8.55, 257.40, 5.97, 65.75
726, 92098, 9.15, 250.30, 6.01, 65.80
728, 92079, 9.20, 250.30, 5.99, 65.85
729, 92061, 9.05, 260.90, 5.94, 65.85
731, 92044, 8.45, 257.20, 5.92, 65.85
733, 92024, 8.45, 257.20, 5.88, 65.85
734, 92005, 8.35, 257.20, 5.84, 65.90
736, 91986, 8.85, 254.80, 5.81, 65.90
738, 91966, 9.15, 253.20, 5.77, 65.90
740, 91947, 8.70, 257.50, 5.76, 65.95
741, 91928, 8.35, 253.80, 5.73, 66.00
743, 91909, 8.35, 253.80, 5.71, 66.05
745, 91890, 8.65, 258.60, 5.69, 66.15
746, 91872, 8.90, 254.30, 5.66, 66.20
750, 91835, 8.85, 248.60, 5.68, 66.35
751, 91816, 8.30, 259.20, 5.70, 66.40
753, 91798, 9.30, 253.10, 5.74, 66.45
754, 91781, 8.95, 250.90, 5.74, 66.45
756, 91764, 7.85, 255.20, 5.73, 66.50
758, 91745, 8.65, 256.60, 5.70, 66.50
759, 91727, 9.50, 253.80, 5.68, 66.55
761, 91710, 8.50, 255.20, 5.63, 66.60
762, 91691, 7.95, 255.70, 5.61, 66.60
764, 91673, 9.25, 252.20, 5.58, 66.65
766, 91656, 9.25, 253.20, 5.55, 66.70
772, 91586, 8.10, 254.00, 5.55, 67.00
774, 91567, 8.35, 256.60, 5.53, 67.10
775, 91548, 8.35, 249.20, 5.49, 67.15
777, 91529, 8.30, 249.20, 5.48, 67.20
779, 91511, 8.75, 258.50, 5.46, 67.25
780, 91494, 8.45, 252.60, 5.45, 67.30
782, 91477, 8.50, 251.10, 5.42, 67.35
783, 91460, 8.50, 258.50, 5.40, 67.40
785, 91444, 8.80, 257.00, 5.39, 67.45
786, 91427, 9.00, 249.60, 5.43, 67.55
788, 91409, 9.00, 249.60, 5.48, 67.60
789, 91392, 7.90, 256.80, 5.49, 67.65
796, 91314, 8.80, 253.40, 5.45, 67.75
798, 91296, 8.30, 250.90, 5.40, 67.70
801, 91262, 8.25, 251.30, 5.39, 67.75
802, 91246, 9.00, 252.00, 5.34, 67.80
806, 91209, 8.05, 254.60, 5.28, 67.85
807, 91192, 8.60, 248.00, 5.26, 67.90
810, 91162, 8.60, 256.30, 5.25, 68.10
811, 91148, 8.50, 248.00, 5.25, 68.15
814, 91119, 8.65, 258.00, 5.18, 68.25
815, 91106, 8.95, 256.50, 5.19, 68.30
817, 91079, 8.25, 250.60, 5.23, 68.40
819, 91066, 8.00, 255.20, 5.20, 68.50
822, 91033, 9.55, 252.20, 5.23, 68.75
823, 91018, 7.90, 253.30, 5.22, 68.85
824, 91001, 8.50, 255.30, 5.19, 68.90
826, 90985, 9.80, 254.60, 5.16, 69.00
827, 90970, 9.05, 253.20, 5.15, 69.10
829, 90954, 8.30, 252.60, 5.16, 69.20
830, 90939, 9.95, 254.90, 5.16, 69.30
831, 90924, 10.05, 257.70, 5.13, 69.35
834, 90894, 8.90, 251.60, 5.10, 69.55
835, 90880, 9.85, 253.50, 5.07, 69.60
837, 90864, 9.25, 258.60, 5.09, 69.70
838, 90848, 8.95, 253.30, 5.08, 69.80
840, 90832, 9.30, 248.60, 5.07, 69.90
841, 90817, 9.55, 256.60, 5.07, 70.00
842, 90802, 9.05, 261.10, 5.12, 70.15
844, 90788, 8.20, 257.00, 5.11, 70.20
845, 90772, 9.00, 256.00, 5.09, 70.25
847, 90756, 9.80, 261.20, 5.05, 70.30
848, 90740, 8.85, 259.80, 4.99, 70.35
850, 90722, 8.45, 258.70, 4.93, 70.35
851, 90708, 9.80, 263.70, 4.89, 70.45
852, 90694, 9.55, 261.70, 4.86, 70.55
864, 90561, 8.95, 256.90, 4.78, 71.25
866, 90542, 9.05, 256.60, 4.81, 71.30
867, 90524, 10.35, 252.30, 4.83, 71.40
869, 90507, 9.70, 254.50, 4.86, 71.45
871, 90489, 8.90, 258.70, 4.84, 71.50
872, 90472, 9.90, 255.30, 4.81, 71.60
873, 90457, 9.75, 252.90, 4.75, 71.65
875, 90442, 8.80, 257.80, 4.75, 71.75
876, 90428, 9.90, 260.90, 4.78, 71.85
884, 90337, 9.45, 263.90, 4.69, 72.85
886, 90322, 9.70, 264.10, 4.69, 73.10
888, 90302, 9.75, 264.10, 4.67, 73.25
889, 90282, 9.85, 259.40, 4.65, 73.45
891, 90262, 9.35, 268.30, 4.65, 73.65
893, 90244, 9.35, 268.30, 4.65, 73.90
894, 90227, 10.25, 260.70, 4.60, 74.15
896, 90210, 9.30, 264.60, 4.57, 74.35
898, 90190, 8.60, 266.00, 4.59, 74.50
899, 90171, 9.25, 266.30, 4.59, 74.65
901, 90152, 9.55, 269.00, 4.59, 74.80
903, 90134, 9.55, 269.00, 4.58, 74.95
904, 90116, 9.35, 261.60, 4.56, 75.05
906, 90098, 9.60, 265.90, 4.54, 75.20
908, 90078, 9.55, 265.90, 4.53, 75.35
910, 90059, 9.15, 264.70, 4.51, 75.45
911, 90040, 9.75, 267.30, 4.51, 75.55
913, 90020, 9.20, 267.10, 4.53, 75.70
915, 90001, 9.00, 262.60, 4.56, 75.80
917, 89982, 9.80, 267.60, 4.64, 76.00
918, 89966, 9.90, 270.30, 4.63, 76.15
920, 89950, 9.90, 270.30, 4.63, 76.30
921, 89934, 9.25, 265.90, 4.60, 76.50
923, 89911, 9.45, 271.40, 4.58, 76.65
925, 89888, 9.80, 266.80, 4.58, 76.85
927, 89866, 9.60, 263.90, 4.56, 77.00
930, 89835, 9.65, 271.20, 4.55, 77.30
931, 89820, 10.25, 264.80, 4.56, 77.45
944, 89684, 9.10, 270.80, 4.55, 78.75
945, 89665, 9.60, 269.30, 4.54, 78.90
947, 89646, 8.90, 275.40, 4.57, 79.05
949, 89627, 8.90, 275.40, 4.57, 79.15
951, 89609, 9.90, 265.60, 4.56, 79.25
952, 89592, 9.20, 271.00, 4.55, 79.45
954, 89574, 9.15, 273.40, 4.55, 79.65
955, 89557, 10.10, 269.30, 4.54, 79.80
957, 89540, 9.55, 266.50, 4.52, 80.00
959, 89522, 9.55, 266.50, 4.50, 80.20
960, 89505, 9.80, 273.10, 4.51, 80.45
962, 89488, 10.00, 271.90, 4.49, 80.60
964, 89465, 8.60, 270.60, 4.48, 80.80
966, 89443, 8.60, 272.30, 4.51, 81.00
968, 89422, 9.90, 273.30, 4.55, 81.25
969, 89404, 9.35, 274.90, 4.59, 81.60
971, 89386, 9.35, 274.90, 4.60, 81.90
973, 89368, 9.50, 274.60, 4.63, 82.25
974, 89351, 9.55, 274.60, 4.63, 82.60
976, 89335, 8.50, 278.30, 4.66, 82.95
977, 89320, 8.40, 276.90, 4.70, 83.30
980, 89286, 9.20, 274.30, 4.69, 84.00
982, 89270, 8.30, 281.40, 4.78, 84.40
985, 89233, 8.50, 275.70, 4.82, 85.05
987, 89216, 9.05, 282.20, 4.89, 85.30
988, 89198, 8.00, 282.10, 4.93, 85.55
990, 89181, 7.95, 277.30, 4.98, 85.80
991, 89164, 9.40, 280.30, 5.02, 86.05
993, 89146, 9.05, 280.00, 5.07, 86.25
995, 89129, 9.05, 280.00, 5.11, 86.60
996, 89112, 8.15, 284.00, 5.16, 86.80
997, 89097, 9.15, 287.30, 5.14, 87.05
999, 89082, 8.10, 280.50, 5.16, 87.30
1000, 89068, 7.80, 278.70, 5.20, 87.50
1002, 89054, 8.80, 286.20, 5.25, 87.70
1003, 89040, 8.80, 285.60, 5.30, 88.00
1004, 89026, 7.95, 280.40, 5.37, 88.25
1006, 89007, 8.15, 285.80, 5.47, 88.50
1008, 88988, 8.90, 289.20, 5.52, 88.80
1009, 88970, 8.10, 284.00, 5.55, 89.00
1011, 88957, 7.75, 282.50, 5.58, 89.15
1012, 88944, 8.75, 287.30, 5.62, 89.40
1013, 88932, 8.55, 290.20, 5.63, 89.55
1015, 88913, 7.50, 290.00, 5.69, 89.65
1016, 88894, 8.20, 289.00, 5.76, 89.75
1018, 88876, 8.95, 290.80, 5.83, 89.90
1019, 88861, 7.70, 288.90, 5.78, 89.95
1021, 88846, 7.10, 287.60, 5.75, 90.05
1022, 88832, 8.05, 294.60, 5.73, 90.10
1025, 88795, 8.70, 291.70, 5.77, 90.20
1027, 88778, 8.90, 288.80, 5.85, 90.30
1029, 88755, 8.00, 300.40, 6.01, 90.55
1030, 88744, 8.15, 291.90, 6.00, 90.65
1034, 88705, 9.20, 298.10, 5.91, 90.70
1036, 88686, 8.30, 299.90, 5.97, 90.75
1039, 88650, 8.60, 295.90, 6.02, 90.80
1041, 88632, 9.35, 301.80, 6.01, 90.80
1043, 88601, 8.65, 293.80, 5.92, 90.70
1045, 88586, 9.15, 300.30, 5.89, 90.70
1048, 88551, 8.65, 294.00, 5.88, 90.70
1050, 88534, 9.50, 297.60, 5.92, 90.70
1053, 88499, 8.45, 296.90, 5.96, 90.75
1055, 88482, 8.95, 296.90, 5.99, 90.80
1055, 88473, 9.70, 303.40, 6.00, 90.80
1056, 88465, 9.25, 300.30, 6.06, 90.85
1057, 88458, 8.65, 293.70, 6.06, 90.85
1059, 88434, 8.90, 300.60, 6.00, 90.85
1061, 88411, 9.15, 305.00, 5.97, 90.80
1063, 88388, 9.00, 297.50, 5.94, 90.80
1065, 88369, 9.15, 297.90, 6.04, 90.85
1067, 88350, 9.10, 305.70, 6.08, 90.85
1068, 88332, 9.25, 302.00, 6.11, 90.90
1070, 88316, 9.25, 300.20, 6.07, 90.95
1071, 88308, 8.95, 306.20, 6.02, 90.95
1072, 88294, 9.15, 298.00, 6.01, 90.90
1073, 88281, 9.20, 295.80, 6.01, 90.90
1074, 88268, 9.25, 306.20, 5.97, 90.85
1076, 88250, 9.15, 306.10, 5.92, 90.80
1078, 88233, 8.95, 298.30, 5.87, 90.80
1079, 88216, 9.10, 302.50, 5.93, 90.75
1080, 88207, 9.15, 309.90, 5.93, 90.80
1081, 88198, 8.60, 303.50, 5.89, 90.85
1082, 88190, 9.10, 301.40, 5.84, 90.85
1083, 88171, 9.95, 307.60, 5.92, 90.85
1085, 88152, 9.60, 307.50, 5.90, 90.85
1087, 88134, 8.60, 300.40, 5.84, 90.90
1088, 88117, 8.80, 303.80, 5.76, 90.85
1090, 88100, 9.30, 310.60, 5.76, 90.85
1092, 88084, 8.40, 303.30, 5.86, 90.90
1093, 88067, 8.40, 303.30, 5.88, 91.00
1095, 88050, 8.30, 310.70, 5.97, 91.15
1096, 88034, 7.95, 302.60, 6.04, 91.30
1097, 88021, 7.95, 293.30, 6.09, 91.45
1098, 88009, 7.80, 300.40, 6.20, 91.65
1100, 87998, 7.65, 305.70, 6.33, 91.85
1101, 87983, 7.95, 294.90, 6.46, 92.05
1103, 87967, 7.80, 290.20, 6.61, 92.30
1104, 87952, 7.50, 297.80, 6.75, 92.50
1105, 87942, 7.90, 295.20, 6.82, 92.65
1106, 87933, 8.30, 287.60, 6.89, 92.80
1107, 87924, 7.95, 292.40, 6.92, 92.90
1108, 87912, 7.75, 299.20, 6.93, 92.95
1109, 87901, 8.00, 291.90, 6.98, 93.00
1110, 87890, 8.00, 289.50, 7.01, 93.00
1111, 87877, 7.55, 296.20, 7.10, 93.00
1111, 87872, 8.40, 289.10, 7.15, 93.00
1113, 87851, 7.85, 292.10, 7.16, 92.95
1115, 87830, 7.20, 300.70, 7.18, 92.90
1117, 87810, 8.05, 297.00, 7.17, 92.85
1119, 87792, 8.85, 292.50, 7.22, 92.90
1121, 87775, 7.70, 292.90, 7.25, 92.80
1122, 87758, 7.55, 297.20, 7.25, 92.75
1123, 87751, 8.85, 298.60, 7.25, 92.65
1123, 87744, 8.40, 292.90, 7.23, 92.60
1124, 87738, 7.45, 290.40, 7.25, 92.55
1126, 87720, 8.00, 299.70, 7.38, 92.55
1127, 87703, 9.05, 300.90, 7.39, 92.60
1129, 87686, 8.35, 291.70, 7.38, 92.60
1131, 87666, 7.90, 292.90, 7.36, 92.60
1133, 87647, 8.90, 301.80, 7.33, 92.50
1134, 87628, 9.00, 301.70, 7.37, 92.50
1136, 87615, 8.00, 295.70, 7.36, 92.45
1137, 87602, 8.65, 296.20, 7.35, 92.45
1138, 87590, 9.45, 298.60, 7.40, 92.45
1140, 87570, 8.15, 297.60, 7.39, 92.50
1142, 87551, 7.85, 296.60, 7.41, 92.50
1144, 87532, 9.15, 297.90, 7.52, 92.50
1144, 87531, 9.30, 296.60, 7.52, 92.50
1144, 87530, 8.15, 295.60, 7.50, 92.50
1144, 87530, 8.55, 299.00, 7.47, 92.45
1146, 87506, 8.85, 298.60, 7.54, 92.45
1147, 87494, 8.05, 292.00, 7.52, 92.35
1149, 87477, 9.05, 297.20, 7.53, 92.30
1150, 87461, 9.50, 299.50, 7.57, 92.25
1152, 87446, 8.45, 295.00, 7.54, 92.25
1154, 87425, 8.50, 294.20, 7.52, 92.25
1156, 87404, 9.80, 299.10, 7.65, 92.20
1158, 87384, 9.40, 297.90, 7.63, 92.15
1158, 87375, 8.35, 293.90, 7.62, 92.10
1159, 87366, 9.15, 296.20, 7.60, 92.05
