# Radiation correction v2.2. Params: lat=43.0873, lon=-89.4243, utc_time=2026-03-03 19:18
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 987.31,  ,  , 0.00,  
40, 984.90,  ,  , 0.00,  
