Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
317, 98304, 0.20, 275.60, 3.92, 65.65
318, 98294, 0.05, 274.20, 3.81, 65.90
319, 98278, 1.85, 162.20, 5.01, 61.55
321, 98253, 2.60, 148.30, 4.65, 61.35
322, 98242, 2.80, 153.10, 4.52, 61.40
325, 98208, 2.05, 163.50, 4.20, 61.50
326, 98192, 2.80, 158.50, 4.07, 61.65
329, 98162, 2.65, 166.70, 3.87, 62.05
330, 98148, 4.45, 177.20, 3.76, 62.25
333, 98115, 4.10, 163.30, 3.63, 62.75
334, 98100, 4.35, 175.20, 3.61, 63.00
336, 98072, 4.70, 182.60, 3.60, 63.40
337, 98058, 1.45, 304.00, 3.57, 63.60
338, 98045, 0.00, 304.00, 3.60, 63.90
339, 98040, 0.00, 304.00, 3.61, 64.05
