UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
19:27:50,  ,  , 98306,  ,  , 6.64, 53.95,  ,  ,  , 
19:27:51,  ,  , 98304,  ,  , 6.04, 54.15,  ,  ,  , 
19:27:52,  ,  , 98303,  ,  , 5.90, 54.40,  ,  ,  , 
19:27:53,  ,  , 98302,  ,  , 5.75, 54.65,  ,  ,  , 
19:27:54,  ,  , 98300,  ,  , 5.66, 54.90,  ,  ,  , 
19:27:55,  ,  , 98299,  ,  , 5.53, 55.10,  ,  ,  , 
19:27:56,  ,  , 98298,  ,  , 5.44, 55.40,  ,  ,  , 
19:27:57,  ,  , 98299,  ,  , 5.37, 55.70,  ,  ,  , 
19:27:58,  ,  , 98300,  ,  , 5.33, 55.95,  ,  ,  , 
19:27:59,  ,  , 98302,  ,  , 5.32, 56.30,  ,  ,  , 
19:28:01,  ,  , 98302,  ,  , 5.32, 56.60,  ,  ,  , 
19:28:02,  ,  , 98301,  ,  , 5.34, 57.00,  ,  ,  , 
19:28:03,  ,  , 98302,  ,  , 5.40, 57.45,  ,  ,  , 
19:28:04,  ,  , 98301,  ,  , 5.45, 57.85,  ,  ,  , 
19:28:05,  ,  , 98300,  ,  , 5.54, 58.30,  ,  ,  , 
19:28:06,  ,  , 98300,  ,  , 5.64, 58.75,  ,  ,  , 
19:28:07,  ,  , 98297,  ,  , 5.72, 59.10,  ,  ,  , 
19:28:08,  ,  , 98295,  ,  , 5.84, 59.35,  ,  ,  , 
19:28:09,  ,  , 98294,  ,  , 5.94, 59.60,  ,  ,  , 
19:28:10,  ,  , 98294,  ,  , 6.04, 59.85,  ,  ,  , 
19:28:11,  ,  , 98295,  ,  , 6.12, 59.95,  ,  ,  , 
19:28:12,  ,  , 98296,  ,  , 6.22, 60.00,  ,  ,  , 
19:28:13,  ,  , 98296,  ,  , 6.30, 60.05,  ,  ,  , 
19:28:14,  ,  , 98297,  ,  , 6.37, 60.00,  ,  ,  , 
19:28:15,  ,  , 98298,  ,  , 6.44, 59.90, 10.2,  ,  , 
19:28:16,  ,  , 98298,  ,  , 6.51, 59.80,  ,  ,  , 
19:28:17,  ,  , 98298,  ,  , 6.56, 59.60,  ,  ,  , 
19:28:18,  ,  , 98298,  ,  , 6.61, 59.45,  ,  ,  , 
19:28:19,  ,  , 98296,  ,  , 6.64, 59.25,  ,  ,  , 
19:28:20,  ,  , 98295,  ,  , 6.71, 59.05,  ,  ,  , 
19:28:21,  ,  , 98294,  ,  , 6.76, 59.00,  ,  ,  , 
19:28:22,  ,  , 98296,  ,  , 6.83, 58.95,  ,  ,  , 
19:28:23,  ,  , 98299,  ,  , 6.90, 58.90,  ,  ,  , 
19:28:24,  ,  , 98302,  ,  , 6.96, 58.80,  ,  ,  , 
19:28:25,  ,  , 98301,  ,  , 7.03, 58.65,  ,  ,  , 
19:28:26,  ,  , 98300,  ,  , 7.09, 58.45,  ,  ,  , 
19:28:27,  ,  , 98300,  ,  , 7.17, 58.30,  ,  ,  , 
19:28:28,  ,  , 98300,  ,  , 7.23, 58.25,  ,  ,  , 
19:28:29,  ,  , 98301,  ,  , 7.27, 58.10,  ,  ,  , 
19:28:30,  ,  , 98302,  ,  , 7.34, 57.90,  ,  ,  , 
19:28:40,  ,  , 98308,  ,  , 7.31, 56.60,  ,  ,  , 
19:28:41,  ,  , 98308,  ,  , 7.19, 56.15,  ,  ,  , 
19:28:42,  ,  , 98308,  ,  , 7.17, 56.05,  ,  ,  , 
19:28:43,  ,  , 98308,  ,  , 7.17, 56.00,  ,  ,  , 
19:28:44,  ,  , 98310,  ,  , 7.17, 56.05,  ,  ,  , 
19:28:45,  ,  , 98312,  ,  , 7.10, 56.05,  ,  ,  , 
19:28:46,  ,  , 98314,  ,  , 7.07, 55.95,  ,  ,  , 
19:28:47,  ,  , 98314,  ,  , 7.02, 55.85,  ,  ,  , 
19:28:48,  ,  , 98314,  ,  , 6.98, 55.80,  ,  ,  , 
19:28:49,  ,  , 98314,  ,  , 6.93, 55.80,  ,  ,  , 
19:28:50,  ,  , 98311,  ,  , 6.87, 55.80,  ,  ,  , 
19:28:51,  ,  , 98309,  ,  , 6.79, 55.75,  ,  ,  , 
19:28:52,  ,  , 98308,  ,  , 6.75, 55.70,  ,  ,  , 
