Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
187, 98296, 0.20, 152.50, 4.83, 61.75
187, 98296, 0.45, 121.70, 4.79, 61.80
187, 98293, 0.15, 89.50, 4.70, 61.70
187, 98292, 0.40, 277.60, 4.68, 61.70
187, 98291, 0.05, 301.70, 4.64, 62.45
187, 98290, 0.05, 301.70, 4.64, 62.50
187, 98290, 0.25, 301.70, 4.68, 62.50
187, 98289, 0.05, 301.70, 5.26, 63.15
187, 98288, 0.05, 301.70, 5.31, 63.35
187, 98288, 0.10, 301.70, 5.49, 62.65
242, 98292, 0.00, 301.70, 5.15, 61.10
242, 98290, 0.15, 301.70, 5.19, 61.15
242, 98290, 0.15, 301.70, 5.19, 61.25
242, 98289, 0.10, 301.70, 4.84, 61.40
242, 98288, 0.05, 301.70, 4.80, 61.40
242, 98288, 0.05, 301.70, 4.75, 61.40
242, 98287, 0.10, 301.70, 4.74, 62.10
242, 98286, 0.10, 301.70, 4.72, 62.10
243, 98284, 0.10, 301.70, 4.64, 62.20
318, 98287, 0.15, 301.70, 4.98, 64.30
320, 98269, 0.25, 301.70, 5.16, 64.45
321, 98260, 0.25, 301.70, 5.22, 64.55
321, 98258, 0.35, 87.10, 4.59, 60.65
321, 98257, 0.35, 15.90, 4.53, 60.75
321, 98256, 0.35, 160.50, 4.45, 60.80
321, 98256, 0.10, 160.50, 4.39, 60.90
321, 98254, 0.35, 12.20, 4.34, 61.00
321, 98253, 0.15, 12.20, 4.30, 61.15
321, 98252, 0.15, 12.20, 4.26, 61.25
