Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
280, 98346, 0.05, 239.50, 5.98, 55.70
280, 98159, 2.95, 207.30, 4.83, 53.40
282, 98136, 0.80, 227.30, 4.72, 53.70
284, 98114, 0.45, 269.60, 4.67, 54.00
286, 98085, 1.10, 290.90, 4.63, 54.35
289, 98057, 2.85, 239.70, 4.59, 54.65
291, 98030, 2.10, 229.90, 4.60, 54.95
295, 97983, 1.85, 212.10, 4.60, 55.50
297, 97960, 3.45, 232.00, 4.64, 55.70
298, 97942, 2.85, 207.40, 4.64, 55.90
300, 97925, 1.30, 229.30, 4.60, 56.10
301, 97908, 2.40, 241.10, 4.58, 56.25
303, 97889, 1.70, 235.00, 4.54, 56.40
304, 97870, 0.80, 253.90, 4.50, 56.50
306, 97852, 0.95, 231.60, 4.48, 56.70
308, 97829, 2.35, 209.10, 4.43, 56.90
310, 97806, 2.70, 222.20, 4.40, 57.05
311, 97784, 2.55, 226.10, 4.35, 57.15
316, 97725, 4.25, 214.80, 4.25, 57.50
319, 97696, 4.70, 212.50, 4.25, 57.65
321, 97672, 2.85, 205.80, 4.19, 57.75
323, 97649, 3.15, 210.40, 4.18, 57.90
325, 97626, 4.90, 194.10, 4.15, 58.05
326, 97608, 4.75, 200.70, 4.18, 58.25
328, 97589, 3.55, 211.70, 4.20, 58.35
329, 97570, 4.05, 212.60, 4.19, 58.45
331, 97549, 3.45, 204.40, 4.15, 58.55
333, 97529, 2.65, 213.70, 4.11, 58.70
334, 97510, 2.20, 207.60, 4.12, 58.80
336, 97489, 3.70, 190.90, 4.11, 58.90
338, 97469, 4.45, 198.80, 4.10, 59.00
339, 97450, 3.35, 191.10, 4.11, 59.10
340, 97437, 4.00, 178.00, 4.11, 59.15
341, 97425, 4.15, 197.30, 4.06, 59.25
342, 97414, 4.45, 199.40, 4.05, 59.30
343, 97402, 4.75, 189.30, 4.05, 59.40
344, 97391, 3.60, 188.90, 4.05, 59.45
345, 97380, 3.60, 198.30, 4.05, 59.55
346, 97365, 4.95, 192.10, 4.04, 59.55
348, 97351, 4.45, 197.60, 4.04, 59.70
349, 97338, 3.30, 206.40, 4.04, 59.90
350, 97327, 3.55, 192.90, 4.04, 60.05
351, 97316, 4.45, 187.60, 4.04, 60.20
351, 97306, 3.70, 204.00, 4.04, 60.35
352, 97293, 3.35, 205.60, 4.04, 60.50
353, 97281, 4.15, 190.60, 4.02, 60.60
354, 97270, 4.15, 194.10, 3.98, 60.70
356, 97251, 3.75, 185.50, 3.92, 60.90
357, 97242, 3.95, 186.30, 3.92, 61.00
358, 97227, 3.30, 198.30, 3.90, 61.10
359, 97213, 4.05, 196.20, 3.86, 61.15
360, 97200, 4.40, 187.40, 3.84, 61.25
361, 97187, 3.05, 186.90, 3.83, 61.35
362, 97174, 3.60, 199.30, 3.81, 61.40
364, 97162, 4.30, 195.60, 3.80, 61.50
365, 97147, 3.60, 201.90, 3.79, 61.65
366, 97133, 2.70, 202.50, 3.78, 61.70
367, 97120, 3.50, 192.20, 3.76, 61.80
368, 97107, 4.35, 200.50, 3.75, 61.85
369, 97094, 3.30, 199.40, 3.74, 61.95
370, 97082, 3.05, 184.40, 3.72, 62.00
371, 97068, 3.75, 195.40, 3.71, 62.10
372, 97055, 3.95, 208.40, 3.71, 62.15
374, 97042, 3.50, 195.00, 3.70, 62.20
375, 97019, 3.25, 207.00, 3.66, 62.35
376, 97008, 3.50, 206.10, 3.65, 62.35
378, 96994, 3.80, 184.50, 3.65, 62.40
379, 96981, 3.65, 194.30, 3.64, 62.50
380, 96968, 3.55, 202.40, 3.63, 62.55
381, 96954, 3.90, 187.80, 3.62, 62.55
382, 96939, 3.90, 201.30, 3.61, 62.60
384, 96924, 3.85, 214.90, 3.60, 62.65
385, 96901, 2.90, 191.70, 3.60, 62.70
387, 96878, 3.45, 181.70, 3.59, 62.70
389, 96856, 3.75, 196.40, 3.57, 62.75
392, 96826, 3.35, 179.60, 3.56, 62.85
393, 96812, 3.15, 197.10, 3.55, 62.85
