Hr,SW_down_Wm-2,SW_up_Wm-2,LW_down_Wm-2,LW_up_Wm-2,NetRad_Wm-2,PAR_umolm-2s-1,AirP_kPa,AirTemp_degreesC,RH_%,AccumulatedPrecip_mm,WindSpeed_ms-1,WindDirection_degrees,CO2_ppm,H2O_gkg-1,CO2flux_umolm-2s-1,HLatentHeatFlux_Wm-2,SensibleHeatFlux_Wm-2,u*_ms-1,tke_m2s2,MO_Length_m,Rho_kgm-3,Cp_JK-1kg-1
14.5000,723.031,111.356,-95.8111,-0.340861,516.205,1387.07,95.6700,15.9293,58.5927,0.00000,3.90571,301.702,384.462,14.0850,-11.8943,266.467,128.284,0.470748,2.40497,-68.7063,1.14270,1013.06
15.0000,790.368,120.404,-97.2313,0.957242,571.776,1520.60,95.6590,16.5190,56.9967,0.00000,3.52420,309.623,383.418,14.2786,-12.9234,245.492,172.377,0.448676,1.72939,-44.2738,1.13944,1013.18
15.5000,850.495,128.271,-99.9208,1.47652,620.827,1638.57,95.6423,17.1357,53.3647,0.00000,3.83456,311.538,383.058,13.8565,-11.3059,259.958,167.701,0.496764,2.24778,-61.7614,1.13712,1012.96
16.0000,894.762,134.376,-101.280,2.15927,656.946,1729.65,95.6415,17.6550,49.7112,0.00000,3.93211,314.481,382.880,13.6219,-10.2495,252.155,170.021,0.394680,2.38337,-30.5510,1.13498,1012.85
16.5000,922.057,138.805,-101.058,3.12058,679.074,1785.85,95.6323,18.2119,46.6973,0.00000,4.27580,305.427,382.301,13.2836,-14.1944,309.889,228.998,0.509290,2.05385,-48.7341,1.13352,1012.68
17.0000,921.708,138.543,-103.003,1.93632,678.227,1796.14,95.6259,19.0931,44.2424,0.00000,3.27707,299.107,381.357,13.3080,-17.9340,417.878,262.531,0.600151,2.92807,-69.5637,1.13018,1012.71
17.5000,873.265,134.054,-94.5165,2.21842,642.476,1701.45,95.6057,19.3063,42.8253,0.00000,3.97945,280.941,380.694,13.1951,-14.1856,310.206,197.020,0.543282,3.68553,-68.7603,1.13005,1012.65
18.0000,-9999.00,161.066,-80.7686,4.02340,-9999.00,1958.83,95.5770,19.8320,43.1980,0.00000,4.27742,277.790,379.619,13.6668,-16.6744,355.893,258.047,0.617191,2.89152,-76.9794,1.12721,1012.92
18.5000,855.174,135.747,-84.2788,2.14462,633.004,1659.91,95.5580,19.9953,43.0993,0.00000,4.48814,260.884,378.912,13.7963,-14.7555,328.332,207.081,0.626286,3.19614,-100.231,1.12749,1012.99
19.0000,808.237,130.516,-85.0422,1.57011,591.108,1581.84,95.5377,20.3260,43.1760,0.00000,4.08395,274.437,378.029,14.0369,-17.7676,379.780,227.562,0.694410,3.36878,-124.334,1.12619,1013.13
19.5000,682.572,111.826,-78.8867,-0.338731,492.198,1332.41,95.5290,20.4303,41.7727,0.00000,4.56804,273.454,377.747,13.7336,-14.9810,304.571,155.743,0.562484,2.73850,-96.5478,1.12684,1012.96
20.0000,530.997,89.3233,-74.1087,-0.508315,368.073,1047.72,95.5253,19.6933,44.6037,0.00000,4.24640,264.453,377.185,14.0291,-9.52168,188.367,83.5447,0.604261,2.14897,-223.146,1.12984,1013.10
20.5000,729.303,125.861,-86.0515,0.0714936,517.319,1439.30,95.5007,20.5880,42.1163,0.00000,4.75645,273.924,377.188,13.9583,-13.0445,275.628,153.034,0.713649,3.04516,-200.679,1.12587,1013.09
21.0000,455.810,79.8617,-56.5926,-2.62552,321.981,890.190,95.4907,20.5193,44.6273,0.00000,3.65705,272.659,375.403,14.6439,-11.7866,199.150,90.1039,0.528739,2.05508,-138.633,1.12671,1013.45
21.5000,408.845,73.3120,-76.8400,-4.52371,263.216,813.060,95.4923,20.3717,42.5457,0.00000,4.34464,279.917,376.554,13.9317,-9.80597,207.019,69.5374,0.568401,2.36143,-223.139,1.12835,1013.06
22.0000,251.308,44.6766,-46.1728,-3.14130,163.600,491.040,95.4927,19.7573,48.3013,0.00000,3.20422,275.927,374.653,15.1094,-8.58324,142.611,16.9609,0.505133,1.46984,-642.210,1.13046,1013.68
22.5000,241.692,48.8223,-50.7148,-4.28655,146.442,469.453,95.4823,19.8860,49.8760,0.00000,3.07173,262.812,374.711,15.5501,-4.31386,111.178,2.34021,0.411756,1.54514,-2521.20,1.12988,1013.92
23.0000,170.228,31.2426,-58.7186,-5.96010,86.2267,343.530,95.4700,19.8300,50.4120,0.00000,3.18663,255.424,373.957,15.6647,-4.90795,117.702,-17.1986,0.478127,1.40434,537.136,1.13083,1013.98
23.5000,133.305,25.3586,-49.1931,-5.32244,64.0760,260.993,95.4762,19.5407,51.3910,0.00000,2.68874,263.063,373.798,15.6711,-2.52777,65.2316,-12.0521,0.358284,0.786640,322.525,1.13211,1013.98
