,Hour,AirPressure_mean_x,Ts_mean,T_mean,CO2_mean,H2O_mean,SH,WS,WD,C_flux,Q_flux,B,H,Le,ustar,TKE,L,Bowen,var_wp,var_up,var_vp,var_cp,var_qp,var_tp,AirPressure_mean_y,AirT_mean,PAR,Rnet
30,15.0 h,95.58542888888887 kPa,16.14705111111111 deg_C,289.2955756628407 K,14953.793388184557 umol / m3,10.033064560555555 g / m3,8.360887133796297 g / kg,3.524200610889506 m / s,248.37679890232835 deg,-11.080536329406899,0.09380934994912919,193.28233424266915 W / m2,173.3373952503954 W / m2,281.42804984738757 W / m2,0.4468338494329946 m / s,2.6146250304662346 m2 / s2,-41.04088501438199 m,0.6159208200617975,0.379614309659371 m2 / s2,1.1458659106298217 m2 / s2,1.9421983296488539 m2 / s2,7394.860335565882,0.13350620913186495,0.39007914178442 deg_C2,95.65900000000002 kPa,16.519 deg_C,1520.6 umol / (m2 s),571.77599791 W / m2
31,15.5 h,95.56194999999997 kPa,16.632249444444444 deg_C,289.7808177705078 K,14913.217136469057 umol / m3,9.719096542777779 g / m3,8.099247118981483 g / kg,3.8345542090651583 m / s,246.4622849691557 deg,-9.16724164719355,0.09742580320191002,189.8076963503104 W / m2,169.0591143046014 W / m2,292.2774096057301 W / m2,0.4944735074030433 m / s,4.319180853363721 m2 / s2,-56.73013170359317 m,0.5784200514595192,0.3798047048938763 m2 / s2,2.13973219835236 m2 / s2,1.9788017111883889 m2 / s2,6689.036159304269,0.17811283804438918,0.38364221456716724 deg_C2,95.64233333333331 kPa,17.13566666666667 deg_C,1638.5666666666666 umol / (m2 s),620.8269106 W / m2
32,16.0 h,95.55932888888886 kPa,17.180672777777776 deg_C,290.3292651085819 K,14880.286260179668 umol / m3,9.538085326111112 g / m3,7.948404438425927 g / kg,3.932109631294556 m / s,243.51847120617765 deg,-8.344993495718153,0.09529222105327484,192.63891552654565 W / m2,172.30630891313535 W / m2,285.8766631598245 W / m2,0.3929663123386931 m / s,5.124969767321871 m2 / s2,-28.1087573266613 m,0.6027295373068084,0.40857504725191496 m2 / s2,1.6522048108615606 m2 / s2,2.7116830988101746 m2 / s2,6220.439870153629,0.16144392999147586,0.39884950012006853 deg_C2,95.64153846153843 kPa,17.654999999999998 deg_C,1729.6538461538462 umol / (m2 s),656.9461393846154 W / m2
33,16.5 h,95.55302222222221 kPa,17.67939666666667 deg_C,290.8280230701491 K,14841.73364832161 umol / m3,9.291254175555556 g / m3,7.7427118129629635 g / kg,4.2758059257458685 m / s,252.57302800193906 deg,-11.410445666501895,0.1152265752114926,257.8712588132016 W / m2,233.24300056431284 W / m2,345.6797256344778 W / m2,0.507516316909068 m / s,3.461209960519207 m2 / s2,-45.3118956457569 m,0.6747372879222436,0.4457927441984181 m2 / s2,1.796310948421041 m2 / s2,1.8700149001655462 m2 / s2,7302.371914665249,0.15786906786575486,0.47780280281126686 deg_C2,95.6323076923077 kPa,18.211923076923075 deg_C,1785.8461538461538 umol / (m2 s),679.0736337307692 W / m2
34,17.0 h,95.54248388888887 kPa,18.393617777777774 deg_C,291.5422423600348 K,14761.338322673057 umol / m3,9.280781406666666 g / m3,7.733984505555555 g / kg,3.2770715893635076 m / s,258.89324686826353 deg,-15.364300908408415,0.1611305168194213,300.1735593745935 W / m2,265.6493228151194 W / m2,483.39155045826396 W / m2,0.5972984347150886 m / s,7.718872643710759 m2 / s2,-63.61097854788424 m,0.5495530953391283,0.4738143047719976 m2 / s2,3.2855505188522143 m2 / s2,2.1019997811809805 m2 / s2,10344.542921614751,0.26535375118924254,0.5628836163293022 deg_C2,95.6258620689655 kPa,19.09310344827586 deg_C,1796.1379310344828 umol / (m2 s),678.2268659551725 W / m2
35,17.5 h,95.52246277777776 kPa,18.709333333333333 deg_C,291.8579680955968 K,14735.017715544333 umol / m3,9.202125258333334 g / m3,7.668437715277778 g / kg,3.9794501312366632 m / s,277.05878167048763 deg,-11.685995536581023,0.11731921347883013,225.2453719290139 W / m2,200.0810350090059 W / m2,351.9576404364904 W / m2,0.5414556461734171 m / s,12.621662302800399 m2 / s2,-63.21690511509258 m,0.568480442023846,0.5456633172460089 m2 / s2,2.5103283197226696 m2 / s2,4.317849913673614 m2 / s2,7953.287092316746,0.17228055047039728,0.46227462636813116 deg_C2,95.60566666666668 kPa,19.30633333333334 deg_C,1701.4466666666667 umol / (m2 s),642.4766724156667 W / m2
36,18.0 h,95.49922722222223 kPa,19.17607611111111 deg_C,292.324663859769 K,14652.1640014675 umol / m3,9.503814440000001 g / m3,7.919845366666668 g / kg,4.27740386693736 m / s,100.21032116512049 deg,-13.609333000596973,0.13402970649258164,292.13126957754343 W / m2,263.3366517113585 W / m2,402.08911947774493 W / m2,0.6147590040909121 m / s,6.887578193090258 m2 / s2,-71.45473283954186 m,0.654921108169737,0.611791026010733 m2 / s2,2.5514918298309937 m2 / s2,2.6250252511126324 m2 / s2,9306.755452438441,0.17539564630181823,0.5684647789170385 deg_C2,95.57700000000004 kPa,19.832 deg_C,1958.8333333333333 umol / (m2 s),764.8044425 W / m2
37,18.5 h,95.47139 kPa,19.264456666666664 deg_C,292.4130303952394 K,14627.327318450667 umol / m3,9.595262745555557 g / m3,7.996052287962964 g / kg,4.488142525269335 m / s,117.11559070520792 deg,-11.890686226285949,0.1224545028876,237.02676333321193 W / m2,210.71098163620005 W / m2,367.36350866280003 W / m2,0.6239907256272101 m / s,8.887773770124232 m2 / s2,-92.12184592387696 m,0.5735762444211897,0.6375163982252745 m2 / s2,2.2592350980656004 m2 / s2,3.5021389398353193 m2 / s2,6887.182433163623,0.13783949673106027,0.37060454948608257 deg_C2,95.55800000000004 kPa,19.99533333333334 deg_C,1659.9133333333334 umol / (m2 s),633.0039346666666 W / m2
38,19.0 h,95.45636777777779 kPa,19.579489444444445 deg_C,292.7280386055615 K,14574.224196857389 umol / m3,9.75003724111111 g / m3,8.125031034259258 g / kg,4.0839533512698605 m / s,103.56321132002205 deg,-14.841603295743802,0.1440518985974949,262.4115282501233 W / m2,231.42106249388297 W / m2,432.15569579248466 W / m2,0.6930736479212496 m / s,9.842990736489655 m2 / s2,-114.14278460413513 m,0.5355039046043448,0.6723193967960999 m2 / s2,2.441008576525038 m2 / s2,3.643548439502657 m2 / s2,8769.399971359133,0.22517405481401923,0.4499134067445104 deg_C2,95.5376666666667 kPa,20.326 deg_C,1581.8366666666666 umol / (m2 s),591.1078190999999 W / m2
39,19.5 h,95.44795222222224 kPa,19.544815000000003 deg_C,292.69339461891883 K,14574.516166838557 umol / m3,9.546482230555554 g / m3,7.955401858796296 g / kg,4.568050214676101 m / s,104.54596677597095 deg,-12.537289795508546,0.11409787771185288,182.033707997061 W / m2,157.4902765545836 W / m2,342.29363313555865 W / m2,0.5606440036815113 m / s,6.691798022145485 m2 / s2,-87.08664151907503 m,0.4601028512038162,0.584874317521287 m2 / s2,1.7264448805151575 m2 / s2,3.171893149451599 m2 / s2,7565.844727154132,0.16439263409283808,0.3033242282321239 deg_C2,95.52900000000002 kPa,20.430333333333333 deg_C,1332.41 umol / (m2 s),492.1982410566667 W / m2
40,20.0 h,95.44898833333336 kPa,19.116449444444445 deg_C,292.264997036097 K,14588.955080690723 umol / m3,9.776048374444443 g / m3,8.146706978703703 g / kg,4.246399438310012 m / s,113.54742519113415 deg,-7.981717329194496,0.07049131955131814,98.99732520084427 W / m2,83.85623175999947 W / m2,211.4739586539544 W / m2,0.6018615971799819 m / s,3.756021320773165 m2 / s2,-197.82088322519587 m,0.3965321890872516,0.5061480615946553 m2 / s2,2.0548808860487084 m2 / s2,1.7416432830640085 m2 / s2,4779.663462169967,0.0893848494836857,0.18777709783846017 deg_C2,95.52533333333336 kPa,19.69333333333333 deg_C,1047.72 umol / (m2 s),368.07307182899996 W / m2
41,20.5 h,95.4281205555556 kPa,19.767726666666665 deg_C,292.9162833573275 K,14538.433088477055 umol / m3,9.693203218333334 g / m3,8.077669348611112 g / kg,4.756437712245888 m / s,104.07561169251755 deg,-10.59586548832161,0.10284195772044435,177.55998030928976 W / m2,155.4209474822718 W / m2,308.5258731613331 W / m2,0.7109322847376369 m / s,7.530514017774432 m2 / s2,-182.1847533509236 m,0.5037533672289446,0.7025725640307908 m2 / s2,2.7854591531308905 m2 / s2,2.609336531392493 m2 / s2,5172.737117287279,0.13972895601938967,0.23481187705983647 deg_C2,95.50066666666663 kPa,20.588000000000005 deg_C,1439.3033333333333 umol / (m2 s),517.3191128666666 W / m2
42,21.0 h,95.41532166666669 kPa,19.847954444444447 deg_C,292.9964393473657 K,14474.359069495722 umol / m3,10.172542881666669 g / m3,8.477119068055558 g / kg,3.657047435988898 m / s,105.34070281459111 deg,-10.352789345497996,0.07601839908173806,106.60587740733858 W / m2,90.23673768395732 W / m2,228.0551972452142 W / m2,0.5263618031293986 m / s,3.5652276409975316 m2 / s2,-123.18651910698611 m,0.3956793740022996,0.3967789804976245 m2 / s2,2.0299205372323894 m2 / s2,1.6889180960462518 m2 / s2,6623.616637180724,0.10584862144397013,0.23703995125531677 deg_C2,95.49066666666663 kPa,20.519333333333332 deg_C,890.19 umol / (m2 s),321.98115138 W / m2
43,21.5 h,95.41520611111112 kPa,19.612627222222223 deg_C,292.7611842817518 K,14546.17657004911 umol / m3,9.695859866666666 g / m3,8.079883222222222 g / kg,4.344645569212294 m / s,278.083112030757 deg,-8.335465645597694,0.07765229876381316,85.53337799895574 W / m2,68.82583428964368 W / m2,232.95689629143948 W / m2,0.5662503889424906 m / s,4.537143959663101 m2 / s2,-190.99953195596154 m,0.29544450233205155,0.5445123046805759 m2 / s2,2.2190493081038785 m2 / s2,1.9630625149447862 m2 / s2,3944.6156937794653,0.13016755334607039,0.13855914543369693 deg_C2,95.4923333333333 kPa,20.371666666666663 deg_C,813.0600000000001 umol / (m2 s),263.21627 W / m2
44,22.0 h,95.41937444444446 kPa,19.427788888888887 deg_C,292.5762231540309 K,14489.392593636723 umol / m3,10.527629735555555 g / m3,8.77302477962963 g / kg,3.2042207235185622 m / s,102.07293018855887 deg,-7.754352815858403,0.05499068381732027,26.534364277428697 W / m2,14.710132246774597 W / m2,164.97205145196082 W / m2,0.5025620594258776 m / s,1.767721053111861 m2 / s2,-430.1583229609158 m,0.08916742028305398,0.32716372191072113 m2 / s2,1.3483685963610663 m2 / s2,1.2689791698985977 m2 / s2,3689.8379990916533,0.08596607709781032,0.0399707649190387 deg_C2,95.49266666666664 kPa,19.757333333333335 deg_C,491.03999999999996 umol / (m2 s),163.6000643333333 W / m2
45,22.5 h,95.40427500000001 kPa,19.52423888888889 deg_C,292.6726282350739 K,14480.162637478335 umol / m3,10.826086905555556 g / m3,9.021739087962963 g / kg,3.0717427007779867 m / s,115.18845442932525 deg,-3.772553159935984,0.042630657579521974,9.326112568288563 W / m2,0.1565433508702562 W / m2,127.89197273856593 W / m2,0.4094938869375304 m / s,2.030525379526071 m2 / s2,-662.296736133125 m,0.0012240279629610437,0.27434507056773205 m2 / s2,1.5000020315789997 m2 / s2,1.3174898278795937 m2 / s2,1652.7707377976271,0.042252561082244434,0.08353546156885257 deg_C2,95.48233333333332 kPa,19.886 deg_C,469.45333333333326 umol / (m2 s),146.44151724666665 W / m2
46,23.0 h,95.39077277777778 kPa,19.526870555555554 deg_C,292.6752467756745 K,14462.117639374444 umol / m3,10.91421673888889 g / m3,9.095180615740741 g / kg,3.186631600491672 m / s,122.57575948649088 deg,-4.4243734579316465,0.04509857114793711,-10.630718722945868 W / m2,-20.331206426359504 W / m2,135.29571344381134 W / m2,0.4771338306675244 m / s,1.6075277266496397 m2 / s2,919.1214259685332 m,-0.15027236199026445,0.32499039984231437 m2 / s2,1.3312990914080087 m2 / s2,1.1563215048271922 m2 / s2,1063.0438058218272,0.03753657904014036,0.045160943296541155 deg_C2,95.46999999999997 kPa,19.830000000000005 deg_C,343.53 umol / (m2 s),86.22679933333333 W / m2
47,23.5 h,95.39965500000002 kPa,19.344116111111113 deg_C,292.49249083145367 K,14472.357978610109 umol / m3,10.931123216666666 g / m3,9.109269347222222 g / kg,2.688741127759834 m / s,114.93678339307183 deg,-2.320640245758466,0.02519838208894357,-8.518929862813918 W / m2,-13.935597291967463 W / m2,75.59514626683071 W / m2,0.35721588507305896 m / s,0.4930978342369808 m2 / s2,481.00640574771217 m,-0.184345132990133,0.24018467579497935 m2 / s2,0.7917822205571703 m2 / s2,0.5491701969305861 m2 / s2,822.967527468486,0.026438770895020208,0.024127559160385458 deg_C2,95.47620689655172 kPa,19.54068965517241 deg_C,260.99310344827586 umol / (m2 s),64.07605413793104 W / m2
