Hr,Min,SW_down_Wm-2,SW_up_Wm-2,LW_down_Wm-2,LW_up_Wm-2,PAR_umolm-2s-1,Pressure_kPa,AirT_degreesC,RH_%,AccumlatedPrecip_mm
0.00000,55.0000,25.0141,4.87784,-2.44060,0.360693,47.4100,95.6100,18.7500,96.6000,0.00000
0.00000,56.0000,27.2647,5.28187,-2.57955,0.337604,51.2900,95.6100,18.7600,96.7000,0.00000
0.00000,57.0000,30.0568,5.96880,-3.22788,0.437367,56.5400,95.6100,18.7500,96.8000,0.00000
0.00000,58.0000,32.1516,6.09068,-5.16762,0.373559,60.7200,95.6000,18.7500,96.9000,0.00000
0.00000,59.0000,33.0898,6.36343,-5.01103,0.523080,62.3000,95.6000,18.7400,96.9000,0.00000
1.00000,0.00000,33.3942,6.27318,-6.58380,0.435788,62.8300,95.6000,18.7500,96.9000,0.00000
1.00000,1.00000,30.6739,6.21363,-4.70125,0.483482,57.8100,95.6000,18.7500,96.9000,0.00000
1.00000,2.00000,30.2016,5.89620,-4.28742,0.400939,56.8000,95.5900,18.7800,96.9000,0.00000
1.00000,3.00000,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
1.00000,4.00000,32.3824,6.39236,-5.86848,0.459748,60.5000,95.5900,18.7900,96.8000,0.00000
1.00000,5.00000,33.4859,6.56216,-6.56515,0.424988,62.1100,95.5900,18.8000,96.8000,0.00000
1.00000,6.00000,33.3337,6.56883,-7.61169,0.408955,61.4700,95.5900,18.8200,96.8000,0.00000
1.00000,7.00000,32.5345,6.21972,-7.15537,0.321259,60.3600,95.5900,18.8200,96.9000,0.00000
1.00000,8.00000,30.4645,6.04049,-5.59206,0.483313,56.3500,95.5900,18.8100,96.9000,0.00000
1.00000,9.00000,30.2171,6.02439,-6.26890,0.488152,55.6700,95.5900,18.8200,96.9000,0.00000
1.00000,10.0000,31.2684,6.31138,-7.21808,0.422206,58.0800,95.5900,18.8400,96.9000,0.00000
1.00000,11.0000,34.3960,6.96208,-13.5520,0.460537,63.7900,95.5900,18.8600,96.8000,0.00000
1.00000,12.0000,36.3638,7.56923,-21.7533,0.246021,67.2800,95.5800,18.8800,96.7000,0.00000
1.00000,13.0000,36.1708,7.66695,-21.6400,0.102139,66.3700,95.5800,18.9000,96.6000,0.00000
1.00000,14.0000,32.9223,7.06587,-15.5062,-0.00753941,59.7300,95.5800,18.9000,96.6000,0.00000
